epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.26188120591640474,0.2471686750650406,0.25570470094680786,0.9267818181818182,0.9292,0.9316,19
2,0.1880687480731444,0.17897692322731018,0.189017191529274,0.9463636363636364,0.9482,0.9466,19
3,0.15106604637273333,0.14702251553535461,0.15704002976417542,0.9562909090909091,0.9544,0.9551,19
4,0.12861098278652539,0.12893903255462646,0.1390942633152008,0.9623818181818182,0.9592,0.9599,19
5,0.11333594237775965,0.11685530096292496,0.1279619336128235,0.9669454545454546,0.965,0.9622,19
6,0.10216529925032096,0.108210988342762,0.12090222537517548,0.9707636363636364,0.9666,0.9645,19
7,0.09347558056664738,0.10215244442224503,0.11620717495679855,0.9729272727272728,0.968,0.9656,19
8,0.08631988387013023,0.09725619852542877,0.1126098483800888,0.9748363636363636,0.9694,0.9672,19
9,0.0801880940375003,0.09321655333042145,0.10978997498750687,0.9766727272727272,0.9702,0.9681,19
10,0.0745645898126743,0.08968840539455414,0.10703413188457489,0.9779818181818182,0.9718,0.9679,19
11,0.06967954856191169,0.08694888651371002,0.10479468107223511,0.9795272727272727,0.9718,0.9678,19
12,0.06549008192342114,0.08482427895069122,0.10318046808242798,0.9807818181818182,0.972,0.968,19
13,0.06167111622923138,0.08283330500125885,0.10153166949748993,0.9822909090909091,0.9728,0.9686,19
14,0.058239281927066094,0.08117512613534927,0.10043203830718994,0.9829454545454546,0.9728,0.9696,19
15,0.05541605276834558,0.07988016307353973,0.10003159195184708,0.9838181818181818,0.973,0.9698,19
16,0.052826272696425966,0.07926196604967117,0.10001774877309799,0.9845454545454545,0.9732,0.9709,19
17,0.05051573003599928,0.07834569364786148,0.10025534778833389,0.9851454545454545,0.9734,0.9716,19
18,0.04826659997772764,0.07798383384943008,0.1003422737121582,0.9857090909090909,0.9724,0.972,19
19,0.04620115540367128,0.07762382179498672,0.10066360235214233,0.9861454545454545,0.9732,0.9715,19
20,0.044388018213424155,0.0777859166264534,0.1011306494474411,0.9866,0.973,0.9714,19
21,0.04259735415761613,0.07809477299451828,0.10141187906265259,0.9868545454545454,0.9736,0.9715,19
22,0.0410405382680368,0.07878897339105606,0.10182364284992218,0.9873636363636363,0.9736,0.9718,19
