epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.3965992395824856,1.4349898099899292,1.4475840330123901,0.49406666666666665,0.473,0.4724
2,1.1725292710728115,1.313414216041565,1.3184535503387451,0.5798666666666666,0.5218,0.5278
3,1.0304100966559515,1.2688194513320923,1.268800973892212,0.631,0.5448,0.5466
4,0.9200143061478933,1.2779089212417603,1.2766029834747314,0.6737111111111111,0.5588,0.5581
5,0.9873865934689839,1.3520703315734863,1.4405966997146606,0.6550222222222222,0.5246,0.5336
6,1.2923620765474106,1.4703503847122192,1.8107457160949707,0.5799777777777778,0.464,0.4658
7,0.9454548348638746,1.521248698234558,1.6897333860397339,0.6778222222222222,0.5152,0.512
8,0.7240060669740042,1.6063235998153687,1.6426855325698853,0.7498,0.5406,0.5446
9,0.7445703751060698,1.7069207429885864,1.7630783319473267,0.7487555555555555,0.5456,0.5459
10,0.8600702307171292,1.8439809083938599,1.9430711269378662,0.722,0.5312,0.5288
11,0.7592012438456217,1.8846826553344727,1.9653375148773193,0.7570888888888889,0.5448,0.5404
12,0.6405357765118281,1.9450490474700928,1.9982601404190063,0.7936666666666666,0.5572,0.5497
13,0.6079874624066882,1.9732261896133423,2.055464744567871,0.8051555555555555,0.5588,0.5497
14,0.4511356986814075,2.0324904918670654,2.0210297107696533,0.8508666666666667,0.5692,0.5712
15,0.4031340173734559,2.088153123855591,2.0942978858947754,0.8665333333333334,0.5624,0.5655
