epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.012615847114060837,0.016719894483685493,0.06440161168575287,0.9965090909090909,0.9942,0.9816,2
2,0.006951683814976026,0.01495544146746397,0.06609725952148438,0.9982727272727273,0.996,0.9823,2
3,0.004245844938017068,0.016131574288010597,0.07010682672262192,0.9987090909090909,0.9948,0.9826,2
4,0.003183868642979426,0.01778062805533409,0.07817769050598145,0.9990545454545454,0.995,0.983,2
5,0.0024423703409282263,0.020529260858893394,0.08172906190156937,0.9992909090909091,0.994,0.9829,2
6,0.005731362091339096,0.025815444067120552,0.08931173384189606,0.9983454545454545,0.9934,0.9816,2
7,0.0015791319477934434,0.022825734689831734,0.08585532009601593,0.9996545454545455,0.9932,0.9834,2
8,0.007081077793555768,0.03598972409963608,0.11229812353849411,0.9977272727272727,0.9912,0.9799,2
9,0.0024179619138756567,0.02703472226858139,0.10004976391792297,0.9993454545454545,0.9932,0.9817,2
10,0.0009268778384451573,0.03514435887336731,0.10432589054107666,0.9998,0.9912,0.9831,2
11,0.00024402759795989678,0.03145807236433029,0.10106246173381805,0.9999818181818182,0.9916,0.9828,2
12,0.018319627230390056,0.06485410034656525,0.1385403871536255,0.9943818181818181,0.984,0.9765,2
13,0.0009747510539673566,0.03160492703318596,0.10289527475833893,0.9997090909090909,0.9924,0.9829,2
14,0.0007466531692874741,0.03440261259675026,0.10987813770771027,0.9997636363636364,0.992,0.9828,2
15,0.0003066403548367085,0.03173498809337616,0.11343228816986084,0.9999272727272728,0.9932,0.9831,2
16,0.0037811144299922327,0.05169786885380745,0.1352291703224182,0.9989454545454546,0.9912,0.9805,2
17,0.0036904355543512578,0.04087994247674942,0.12683402001857758,0.998890909090909,0.9912,0.9814,2
18,0.003584093578005545,0.047404952347278595,0.12292677164077759,0.9987636363636364,0.9904,0.9809,2
19,0.0005412002676338578,0.04019773751497269,0.12033747881650925,0.9999090909090909,0.9916,0.9835,2
20,0.004894482177875418,0.05506104603409767,0.14445845782756805,0.9985636363636363,0.9902,0.9797,2
21,0.0018398645539617782,0.043357666581869125,0.1354859620332718,0.9992909090909091,0.9924,0.9818,2
22,0.0019230531761659508,0.044003359973430634,0.1389172226190567,0.9993454545454545,0.9916,0.9808,2
23,0.00046053563625715686,0.041085485368967056,0.13382668793201447,0.999890909090909,0.9932,0.9823,2
24,0.001273777246633684,0.04251078516244888,0.13592448830604553,0.9996545454545455,0.9924,0.9829,2
25,0.0015274940652382615,0.047018758952617645,0.14369119703769684,0.9994,0.9912,0.9817,2
26,0.0003392974407393413,0.04660923779010773,0.12892106175422668,0.999890909090909,0.9916,0.9839,2
27,0.006372345740692407,0.07064719498157501,0.16865657269954681,0.9983636363636363,0.9906,0.9806,2
28,0.0025565756464099964,0.05147632583975792,0.1420622318983078,0.9992363636363636,0.991,0.9831,2
29,0.0005128923338656151,0.05264659598469734,0.1476977914571762,0.9998363636363636,0.9918,0.983,2
30,0.0006248888671019214,0.05227601155638695,0.14720594882965088,0.9998363636363636,0.9924,0.9839,2
31,0.0013122446281258041,0.04941648989915848,0.16086669266223907,0.9995818181818181,0.9918,0.9819,2
32,0.0037163173987332637,0.05457663536071777,0.15944206714630127,0.9990727272727272,0.9908,0.9821,2
33,0.000491409119196663,0.05143808573484421,0.14554375410079956,0.9998,0.9918,0.9846,2
34,0.0006205342527316226,0.05096375569701195,0.1463795006275177,0.9998,0.9926,0.9838,2
35,0.00030606058319857074,0.06203237175941467,0.15813930332660675,0.999890909090909,0.9908,0.9835,2
36,0.001847251914044513,0.05376359820365906,0.15979023277759552,0.9993454545454545,0.9916,0.9823,2
37,0.004295694644991517,0.07225127518177032,0.18986257910728455,0.9988363636363636,0.9908,0.9809,2
38,0.007097853281666686,0.08773786574602127,0.20510952174663544,0.9978545454545454,0.9896,0.9792,2
39,0.0006103603362744188,0.05495860055088997,0.1656634658575058,0.9998,0.9918,0.9825,2
40,0.0036252874551750197,0.06254872679710388,0.17475299537181854,0.9992363636363636,0.9906,0.9818,2
41,0.005425791164360828,0.08255339413881302,0.20087523758411407,0.9983818181818181,0.9866,0.9778,2
42,0.0015425440465961764,0.06404989957809448,0.1904744803905487,0.9994,0.9908,0.9817,2
43,0.005284890758156623,0.062674380838871,0.1913754940032959,0.9986727272727273,0.9912,0.9792,2
44,0.0002186730359832264,0.0583982840180397,0.17244571447372437,0.9999272727272728,0.9928,0.9836,2
45,6.280889477072775e-05,0.05060746893286705,0.16642606258392334,0.9999818181818182,0.9928,0.9849,2
46,4.248766423446329e-05,0.05047940835356712,0.16812258958816528,1.0,0.9934,0.9844,2
47,3.71545279242256e-06,0.05005229637026787,0.16487044095993042,1.0,0.9932,0.9846,2
48,2.739937655066042e-06,0.05051287263631821,0.16503272950649261,1.0,0.9934,0.9847,2
49,2.056323404733233e-06,0.050913289189338684,0.16525854170322418,1.0,0.9934,0.9845,2
50,1.5398892999885757e-06,0.05130832642316818,0.16559945046901703,1.0,0.9934,0.9847,2
51,1.1393621386533486e-06,0.05172879621386528,0.16611050069332123,1.0,0.9936,0.9849,2
52,8.353931567404968e-07,0.052176300436258316,0.16673599183559418,1.0,0.9934,0.9849,2
53,6.059502043607975e-07,0.05262070149183273,0.1674884855747223,1.0,0.9936,0.985,2
54,4.3338190141752683e-07,0.05307154357433319,0.16834069788455963,1.0,0.9936,0.9851,2
55,3.057429260921199e-07,0.05350460857152939,0.16943983733654022,1.0,0.9936,0.9851,2
