epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.4398616590076023,1.4299196004867554,1.4902384281158447,0.4738888888888889,0.4458,0.4543
2,1.1885900722927518,1.2972159385681152,1.3207746744155884,0.5771333333333334,0.5218,0.5271
3,1.032644433371226,1.2540162801742554,1.2663174867630005,0.6346666666666667,0.5432,0.5508
4,0.9470556517706977,1.2601920366287231,1.29390287399292,0.6638,0.5412,0.5536
5,0.8475381983651056,1.326245903968811,1.3284175395965576,0.6978666666666666,0.5582,0.5626
6,0.8729615718470679,1.4299684762954712,1.4909690618515015,0.6946,0.5272,0.5389
7,1.3510307700686985,1.5861320495605469,1.9585437774658203,0.5817111111111111,0.4592,0.4701
8,1.0133030269198948,1.6219793558120728,1.8120867013931274,0.6699555555555555,0.499,0.5127
9,0.7360834796375698,1.677979826927185,1.7318978309631348,0.7501555555555556,0.5392,0.5463
10,0.9086151464144389,1.7390950918197632,1.9917970895767212,0.7195111111111111,0.5258,0.5307
11,0.6425762213283115,1.7948724031448364,1.9134601354599,0.7902,0.5498,0.5546
12,0.4677678170522054,1.8870398998260498,1.8760427236557007,0.8428444444444444,0.5728,0.5689
13,0.44713488422499764,1.9235879182815552,1.9262275695800781,0.8524,0.576,0.5801
14,0.3637726510842641,1.9839249849319458,1.9747543334960938,0.8782222222222222,0.5782,0.5783
15,0.28852300667365394,2.012437343597412,2.017688512802124,0.9017333333333334,0.5764,0.5828
