epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.3188481576686556,0.31969013810157776,0.3165469169616699,0.9057454545454545,0.9104,0.9122,25
2,0.23573865822634912,0.23994429409503937,0.2377489060163498,0.9308363636363637,0.9324,0.9322,25
3,0.19763438210162249,0.20300383865833282,0.2036893367767334,0.9417090909090909,0.9408,0.9412,25
4,0.1737427412115715,0.180209219455719,0.18378345668315887,0.9482909090909091,0.9482,0.9458,25
5,0.1560288636691191,0.16432659327983856,0.1695108711719513,0.9538363636363636,0.9526,0.9497,25
6,0.14267873617126184,0.1532348245382309,0.15942353010177612,0.957690909090909,0.9564,0.953,25
7,0.13204157746921885,0.14481519162654877,0.15148739516735077,0.9608545454545454,0.9574,0.9561,25
8,0.12305375877970999,0.13804012537002563,0.14485354721546173,0.963709090909091,0.9586,0.958,25
9,0.11575273646346547,0.13288457691669464,0.13985608518123627,0.9654909090909091,0.959,0.9597,25
10,0.10976623855395751,0.128948375582695,0.13589268922805786,0.9668909090909091,0.9606,0.9605,25
11,0.1046400840329853,0.1260095238685608,0.13262487947940826,0.9683818181818182,0.961,0.961,25
12,0.10010667515783148,0.12299241870641708,0.12965740263462067,0.9694545454545455,0.9618,0.9622,25
13,0.09617385652559725,0.12051597982645035,0.12774547934532166,0.9704909090909091,0.9624,0.9624,25
14,0.092936262070794,0.11888990551233292,0.1265242099761963,0.9713454545454545,0.9638,0.964,25
15,0.08992389084872875,0.11744827032089233,0.1255815029144287,0.9724363636363637,0.9646,0.9647,25
16,0.08744063380902464,0.11651572585105896,0.1253328174352646,0.9735636363636364,0.965,0.9653,25
17,0.08509188186207955,0.11508940160274506,0.12484544515609741,0.9742,0.9654,0.9652,25
18,0.0829409378035502,0.1140742152929306,0.12452078610658646,0.9748363636363636,0.9652,0.9657,25
19,0.08083656095408581,0.11307523399591446,0.12438515573740005,0.9752181818181819,0.9654,0.9661,25
20,0.0789855463870547,0.11282654106616974,0.12456602603197098,0.9757090909090909,0.9664,0.9661,25
21,0.07710695941678503,0.11197803914546967,0.1246417984366417,0.9762363636363637,0.967,0.9661,25
22,0.07560462419688702,0.11160054057836533,0.12503425776958466,0.9768545454545454,0.9662,0.9659,25
23,0.07415631324289874,0.11126601696014404,0.12556393444538116,0.9774,0.9668,0.9663,25
24,0.07264585314335471,0.11115272343158722,0.1258343756198883,0.9778,0.9676,0.9665,25
25,0.07102064119397916,0.11060801893472672,0.12592627108097076,0.9783636363636363,0.9672,0.9673,25
26,0.06983424960110675,0.11081515997648239,0.12674081325531006,0.9788,0.967,0.9672,25
27,0.06863145349936729,0.11085330694913864,0.12734748423099518,0.9790909090909091,0.9674,0.9673,25
28,0.06742090046287261,0.110808826982975,0.12790203094482422,0.9796,0.9686,0.9671,25
29,0.0661114668531174,0.11089667677879333,0.12856225669384003,0.9799272727272728,0.9684,0.9669,25
30,0.06512577742998572,0.11069288104772568,0.1293739527463913,0.9802,0.9686,0.9662,25
