epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.26354810895703057,0.2520686686038971,0.2568371891975403,0.9242545454545454,0.925,0.9272,16
2,0.19037031242115932,0.18271158635616302,0.19308947026729584,0.9446181818181818,0.9456,0.9431,16
3,0.15038925391706554,0.14805613458156586,0.15931004285812378,0.956690909090909,0.9554,0.952,16
4,0.1251677535250783,0.12890280783176422,0.13942275941371918,0.9635636363636364,0.9614,0.959,16
5,0.10763438811661168,0.11667872220277786,0.12682248651981354,0.9682909090909091,0.9646,0.964,16
6,0.09407823314788667,0.10774638503789902,0.11808845400810242,0.9719272727272728,0.9666,0.9668,16
7,0.08367751314389435,0.10123063623905182,0.11201383918523788,0.9745090909090909,0.9692,0.9678,16
8,0.07541872666251254,0.09693067520856857,0.1082586795091629,0.9773636363636363,0.9702,0.969,16
9,0.0683045222280039,0.09319446235895157,0.10559167712926865,0.9791636363636363,0.9706,0.9696,16
10,0.06192970916611904,0.0903024822473526,0.10367440432310104,0.9810545454545454,0.9708,0.97,16
11,0.05655354628669606,0.08823438733816147,0.10271170735359192,0.9823090909090909,0.9718,0.9705,16
12,0.05208941927882419,0.08734802901744843,0.10264977812767029,0.9839818181818182,0.9716,0.9706,16
13,0.0480057508583096,0.08635527640581131,0.10294831544160843,0.9852363636363637,0.9722,0.9713,16
14,0.04433672819142653,0.08515459299087524,0.10355266183614731,0.9866363636363636,0.974,0.9719,16
15,0.04116875157429075,0.08431544154882431,0.10410667955875397,0.9874,0.9746,0.9724,16
16,0.038282383812760765,0.08425869792699814,0.10525889694690704,0.9886727272727273,0.9744,0.9725,16
17,0.035573152132967314,0.08431414514780045,0.10605169832706451,0.9893090909090909,0.9738,0.9722,16
18,0.03310546978893267,0.08471711724996567,0.10731671005487442,0.9901818181818182,0.9736,0.973,16
19,0.031169238266683268,0.08592315763235092,0.10951655358076096,0.9907272727272727,0.973,0.9724,16
