epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.4488741980022855,1.450763463973999,1.4999390840530396,0.4706444444444444,0.4466,0.4572
2,1.1614065146976047,1.2985639572143555,1.3047947883605957,0.5829333333333333,0.5236,0.5259
3,1.0294622341473898,1.240578532218933,1.260208249092102,0.6336888888888889,0.5404,0.5444
4,1.0567717407120598,1.2410434484481812,1.4012614488601685,0.628,0.532,0.5332
5,0.9371218306859335,1.2898945808410645,1.418797492980957,0.6669555555555555,0.5378,0.5427
6,0.837845999039544,1.3819680213928223,1.470821738243103,0.7063555555555555,0.5462,0.5509
7,0.786998301437166,1.481559157371521,1.5554776191711426,0.7229111111111111,0.544,0.54
8,0.9162640738805136,1.5973342657089233,1.7558960914611816,0.6928,0.513,0.5185
9,0.7893853623072307,1.6964142322540283,1.7552131414413452,0.7365333333333334,0.5292,0.5463
10,0.7000273062388103,1.7465569972991943,1.7858312129974365,0.7682222222222223,0.5392,0.5581
11,0.5323323689672682,1.823105812072754,1.7755531072616577,0.8186444444444444,0.552,0.5745
12,0.5335522251380814,1.8578187227249146,1.9029819965362549,0.8209111111111111,0.5574,0.5654
13,0.4018161229643557,1.9489201307296753,1.903559923171997,0.8648888888888889,0.5642,0.582
14,0.39854320785469477,2.0413386821746826,2.010608673095703,0.8661333333333333,0.5688,0.5728
15,0.3713332475847668,2.0833940505981445,2.050846815109253,0.8746666666666667,0.564,0.5773
