epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.4782322758568658,1.4479933977127075,1.5369826555252075,0.4690666666666667,0.4494,0.4464
2,1.2172967848036025,1.3155455589294434,1.3613451719284058,0.5701555555555555,0.5156,0.5143
3,1.185920703156789,1.272126317024231,1.401314377784729,0.5892666666666667,0.506,0.5141
4,1.0748674400647482,1.2868635654449463,1.4009796380996704,0.6298444444444444,0.5208,0.5235
5,0.9052899264494578,1.3456926345825195,1.3919905424118042,0.6825111111111111,0.5388,0.5428
6,0.8385706203566657,1.4264453649520874,1.4709491729736328,0.7058444444444445,0.542,0.5391
7,1.0448670038435195,1.5606619119644165,1.7636688947677612,0.6503333333333333,0.5004,0.5041
8,0.826262978665034,1.6244686841964722,1.7279704809188843,0.7193111111111111,0.5106,0.5254
9,0.6627676835510465,1.7210739850997925,1.7335777282714844,0.7726888888888889,0.546,0.5508
10,0.6680239786598418,1.8580087423324585,1.8914222717285156,0.7816888888888889,0.552,0.5449
11,0.592308795803123,1.9293181896209717,1.9957199096679688,0.8025555555555556,0.5556,0.5491
12,0.5699119075258573,2.023787498474121,2.0835635662078857,0.8163111111111111,0.5594,0.552
13,0.6420708462529712,2.0886151790618896,2.2005553245544434,0.8054888888888889,0.5568,0.5466
14,0.503316954419348,2.058183431625366,2.197843074798584,0.8427333333333333,0.5598,0.5532
15,0.3424662804669804,2.082772731781006,2.148533821105957,0.8865555555555555,0.5742,0.5714
