epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.4064074397404989,1.4515283107757568,1.4603075981140137,0.4890888888888889,0.4516,0.4698
2,1.1784575552622478,1.3140195608139038,1.3168796300888062,0.5766666666666667,0.5266,0.5256
3,1.1067984670745001,1.2676310539245605,1.3260387182235718,0.6058666666666667,0.525,0.5348
4,1.0334024564319186,1.2748241424560547,1.3626662492752075,0.6365555555555555,0.5212,0.5389
5,1.244140590201484,1.3552757501602173,1.6608960628509521,0.5837333333333333,0.4654,0.4913
6,1.1344283246994018,1.4256242513656616,1.6832226514816284,0.6218,0.4784,0.4938
7,0.9664067221005758,1.5017836093902588,1.6619001626968384,0.6734222222222223,0.5114,0.5199
8,1.1889921587414212,1.6079398393630981,1.9716570377349854,0.6275111111111111,0.4692,0.4818
9,0.81466017203331,1.65169358253479,1.8096046447753906,0.7283777777777778,0.5126,0.5301
10,0.7195597835116916,1.7710202932357788,1.8088972568511963,0.7618222222222222,0.5352,0.547
11,0.7144235189093484,1.8569550514221191,1.975654125213623,0.7735111111111111,0.541,0.5466
12,0.5520814795136452,1.9089359045028687,1.9538275003433228,0.8175555555555556,0.5488,0.5556
13,0.5509911650339763,1.934944748878479,2.038147449493408,0.8191333333333334,0.549,0.5522
14,0.5116293220334582,1.9934552907943726,2.1018853187561035,0.8367555555555556,0.5672,0.5567
15,0.4303147890653875,2.0198299884796143,2.113945484161377,0.8577777777777778,0.5744,0.5678
