epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.0204350193871392,1.2395281791687012,1.2511587142944336,0.6407555555555555,0.5486,0.556
2,0.8492259353001912,1.205184817314148,1.2624399662017822,0.7027777777777777,0.556,0.5665
3,0.6437696519268884,1.2833062410354614,1.3002268075942993,0.7745333333333333,0.5732,0.578
4,0.6417885528829362,1.4053394794464111,1.5050396919250488,0.7729111111111111,0.5632,0.564
5,0.6318653492980533,1.5903069972991943,1.6759685277938843,0.7778222222222222,0.5468,0.5553
6,0.6687797482649486,1.7479746341705322,1.932909607887268,0.7811777777777777,0.5502,0.5627
7,0.4049690889371766,1.8020390272140503,1.8559656143188477,0.8587555555555556,0.572,0.5789
8,0.32905811135901347,1.8935213088989258,1.9125056266784668,0.8860444444444444,0.5852,0.5838
9,0.22444371832344268,1.9727277755737305,1.9364897012710571,0.9226666666666666,0.5874,0.5933
10,0.25974561029805077,2.0597143173217773,2.060170888900757,0.9102888888888889,0.5788,0.5836
11,0.1337687045984798,2.076616048812866,1.9863158464431763,0.9537555555555556,0.5932,0.6061
12,0.07532806094653077,2.0952820777893066,1.9952017068862915,0.9757777777777777,0.611,0.6098
13,0.046526853226456374,2.1243932247161865,2.011464834213257,0.9865111111111111,0.607,0.6111
14,0.02756661938081185,2.1442313194274902,2.0349855422973633,0.9934222222222222,0.6164,0.6146
15,0.017238718702892463,2.167759418487549,2.043325662612915,0.9967111111111111,0.618,0.6154
