epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.5062702009624904,1.4607739448547363,1.5654692649841309,0.4646222222222222,0.4356,0.4424
2,1.2488947415457832,1.3141056299209595,1.3973121643066406,0.5615333333333333,0.4896,0.5046
3,1.0269970020718044,1.2589476108551025,1.2672624588012695,0.6377555555555555,0.5362,0.55
4,1.0359015706592136,1.286765456199646,1.3912171125411987,0.6407111111111111,0.5176,0.5286
5,1.4214338108062745,1.3813313245773315,1.8471579551696777,0.5501111111111111,0.45,0.4555
6,1.426501602300008,1.4547183513641357,1.9699196815490723,0.5578888888888889,0.4422,0.4471
7,0.8593665172841813,1.5252459049224854,1.6175165176391602,0.7011333333333334,0.5182,0.5295
8,0.9619706748008728,1.6364295482635498,1.7424261569976807,0.6812,0.5122,0.5184
9,1.0054681201404996,1.719081997871399,1.937361717224121,0.6841555555555555,0.5082,0.5173
10,0.8038899570862452,1.7874321937561035,1.928971290588379,0.7435111111111111,0.5272,0.5326
11,0.6785055452638202,1.883634328842163,1.9527777433395386,0.7807777777777778,0.5418,0.5512
12,0.6260280959871081,1.9716010093688965,1.9914703369140625,0.7953111111111111,0.548,0.5517
13,0.5167476696809132,2.0052928924560547,1.9957575798034668,0.8279333333333333,0.5538,0.5628
14,0.4626935737033685,2.0729141235351562,2.0006864070892334,0.8452444444444445,0.5564,0.5612
15,0.3381466581245263,2.0884807109832764,2.0029995441436768,0.8840666666666667,0.5642,0.5669
