epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.4531362870958116,1.4409230947494507,1.5105735063552856,0.4735333333333333,0.4528,0.4534
2,1.249725527826945,1.3049964904785156,1.3806337118148804,0.5594888888888889,0.4974,0.5086
3,1.089313021988339,1.2656006813049316,1.3278343677520752,0.6160444444444444,0.5264,0.536
4,0.9157871081352233,1.2815254926681519,1.2955149412155151,0.6725333333333333,0.542,0.5588
5,0.8280069764773051,1.347133994102478,1.3600130081176758,0.7050888888888889,0.5378,0.5572
6,0.8886099028375414,1.4662986993789673,1.5642297267913818,0.6905555555555556,0.518,0.5353
7,0.992680145878262,1.6086009740829468,1.7724422216415405,0.6715777777777778,0.4996,0.5155
8,0.9658150754716661,1.7128615379333496,1.8726879358291626,0.6869555555555555,0.5096,0.5214
9,0.690312800974316,1.8006013631820679,1.8016529083251953,0.7672222222222222,0.5384,0.5496
10,0.6855334372255537,1.849699854850769,1.909735918045044,0.7715555555555556,0.532,0.5413
11,0.719854858438174,1.9404337406158447,2.0137336254119873,0.7663777777777778,0.5184,0.5385
12,0.547465667910046,1.9959285259246826,2.0179593563079834,0.8212444444444444,0.5428,0.5529
13,0.4865590378469891,2.0477397441864014,2.0649235248565674,0.8437111111111111,0.5554,0.5643
14,0.4074329251660241,2.107299327850342,2.0757124423980713,0.8664222222222222,0.5578,0.5721
15,0.38175663876401056,2.166778802871704,2.1291003227233887,0.8765555555555555,0.5686,0.5822
