epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.5155020977867975,1.4433759450912476,1.5658739805221558,0.457,0.4384,0.4417
2,1.1841340996318392,1.3051950931549072,1.3247096538543701,0.5784222222222222,0.5252,0.5245
3,1.0462152730411953,1.2631347179412842,1.2841051816940308,0.6304666666666666,0.5432,0.5467
4,1.1638422097841898,1.2754267454147339,1.487545371055603,0.5908222222222222,0.4982,0.5011
5,1.2110107419225904,1.3384546041488647,1.6142308712005615,0.5874444444444444,0.481,0.4957
6,1.305934033372667,1.4285460710525513,1.777976393699646,0.5756444444444444,0.4588,0.4747
7,1.0572485728899639,1.4880549907684326,1.734068751335144,0.6486,0.4976,0.5107
8,0.903755485370424,1.5474542379379272,1.746976375579834,0.6958222222222222,0.5176,0.5247
9,0.7937000477896796,1.6359058618545532,1.7330924272537231,0.7312444444444445,0.5286,0.5373
10,0.7468507776260376,1.6674730777740479,1.7582741975784302,0.7483333333333333,0.5352,0.5423
11,0.7747032239966922,1.756653070449829,1.9026108980178833,0.7498666666666667,0.5314,0.5423
12,0.6400613330284755,1.8224431276321411,1.894773006439209,0.7846666666666666,0.5384,0.5511
13,0.5289818651994069,1.8618112802505493,1.8931496143341064,0.8210888888888889,0.5556,0.5642
14,0.5212841973437203,1.9330700635910034,1.9776886701583862,0.8253777777777778,0.5596,0.5696
15,0.41901994165844386,1.9467886686325073,1.9396125078201294,0.8561555555555556,0.5682,0.5736
