epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.23646133967963132,0.25401973724365234,0.23987111449241638,0.9322,0.9294,0.9314,8
2,0.15669949498569424,0.18124200403690338,0.16756942868232727,0.9531090909090909,0.946,0.9493,8
3,0.11270604296231812,0.14300695061683655,0.12924496829509735,0.9655090909090909,0.9576,0.9609,8
4,0.08575309856320647,0.11958685517311096,0.10889122635126114,0.9745090909090909,0.964,0.9675,8
5,0.06771947559680451,0.10550925135612488,0.09883610904216766,0.9798545454545454,0.97,0.9696,8
6,0.05581005612997846,0.09872006624937057,0.09328412264585495,0.9832727272727273,0.9726,0.9709,8
7,0.046730382628230885,0.09542791545391083,0.08928653597831726,0.986,0.9738,0.9727,8
8,0.039517761069307614,0.0941249281167984,0.08662939071655273,0.9882181818181818,0.974,0.9745,8
9,0.034159226182551884,0.09439685940742493,0.08564352989196777,0.9897636363636364,0.9744,0.9747,8
10,0.02967732813103463,0.09576528519392014,0.08616150915622711,0.9911454545454546,0.9742,0.9743,8
11,0.02557295332408764,0.09783866256475449,0.08680061995983124,0.9923818181818181,0.9756,0.9757,8
12,0.02212375052347356,0.09976886212825775,0.08763757348060608,0.9935454545454545,0.9752,0.9765,8
