epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,0.9954208936797247,1.2472057342529297,1.2798036336898804,0.6446444444444445,0.542,0.5528
2,0.8212599366717869,1.2373279333114624,1.3336479663848877,0.7094222222222222,0.5616,0.557
3,0.7846216293176015,1.3618978261947632,1.5505067110061646,0.7311333333333333,0.55,0.5461
4,0.5731720629268222,1.4844967126846313,1.6218867301940918,0.8000444444444444,0.5576,0.5556
5,0.8014625948535071,1.662317156791687,1.9953643083572388,0.7429111111111111,0.5268,0.5216
6,0.5805041919602288,1.7781293392181396,2.01983380317688,0.8095777777777777,0.556,0.555
7,0.5900559131357405,1.9179822206497192,2.0827059745788574,0.8070444444444445,0.5602,0.5603
8,0.42304916281435223,1.982677698135376,2.070849895477295,0.8593111111111111,0.576,0.5794
9,0.14444372098048527,1.9961005449295044,1.959995150566101,0.9495777777777777,0.5986,0.6008
10,0.11939298605256611,2.05456280708313,2.0119030475616455,0.9593555555555555,0.5956,0.6023
11,0.05499728690981865,2.066372871398926,2.013010263442993,0.9836,0.6036,0.6035
12,0.03112597460448742,2.094850540161133,2.02506422996521,0.9925777777777778,0.6154,0.6097
13,0.019920084313220447,2.118924617767334,2.0442471504211426,0.9962444444444445,0.6146,0.6121
14,0.015596157186892298,2.14099383354187,2.0610291957855225,0.9976444444444444,0.6136,0.613
15,0.013462979558110237,2.160953998565674,2.0779905319213867,0.9981111111111111,0.6166,0.6136
