epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.017137468263838,1.2480038404464722,1.3413901329040527,0.6411777777777777,0.531,0.5395
2,1.0298731725904677,1.280268669128418,1.5612443685531616,0.6482222222222223,0.5132,0.5184
3,1.017300363752577,1.4098540544509888,1.7752853631973267,0.6722444444444444,0.5164,0.5165
4,0.6665229754659865,1.5719530582427979,1.68208909034729,0.7704888888888889,0.5598,0.5625
5,0.5679451165305244,1.7406761646270752,1.821271538734436,0.8060888888888889,0.562,0.567
6,0.4394444127029843,1.8099396228790283,1.8506431579589844,0.8497333333333333,0.5722,0.5781
7,0.3544775775776969,1.9297094345092773,1.9649205207824707,0.8796666666666667,0.5712,0.5767
8,0.18769145550462935,1.9840176105499268,1.9297914505004883,0.934,0.5864,0.5918
9,0.13331366274489298,2.0458385944366455,2.012725591659546,0.9547111111111111,0.5882,0.5931
10,0.06367720641195775,2.073178291320801,2.00957989692688,0.9812,0.6026,0.6038
11,0.038245988632407454,2.1077263355255127,2.0455374717712402,0.9903333333333333,0.6074,0.6058
12,0.025450008562041652,2.1363282203674316,2.061842679977417,0.9942,0.6074,0.6085
13,0.01905308870656623,2.155439853668213,2.079965353012085,0.9963333333333333,0.6078,0.6101
14,0.016240668206496372,2.174561023712158,2.0979814529418945,0.9971333333333333,0.6084,0.6102
15,0.014411869921866391,2.1917829513549805,2.1138317584991455,0.9976222222222222,0.6102,0.6099
