epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.081827144542201,0.10988125205039978,0.09451789408922195,0.9770181818181818,0.9654,0.9714,3
2,0.040135798941112376,0.07959648966789246,0.06739956140518188,0.988890909090909,0.9738,0.9789,3
3,0.024512745753671464,0.07319898903369904,0.0632549524307251,0.9936909090909091,0.977,0.9814,3
4,0.016333922923701307,0.0735689252614975,0.06387913972139359,0.9955090909090909,0.9778,0.9813,3
5,0.011165484714104836,0.07749705016613007,0.06722210347652435,0.9972181818181818,0.9778,0.9814,3
6,0.00842628921876762,0.08396972715854645,0.07365294545888901,0.9978181818181818,0.9792,0.9807,3
7,0.005956736056047455,0.08869950473308563,0.0777195394039154,0.9986,0.9786,0.981,3
