epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.479810467063056,1.4623645544052124,1.5278401374816895,0.46495555555555557,0.4466,0.4476
2,1.21787888707055,1.3049843311309814,1.3451734781265259,0.5637111111111112,0.5126,0.516
3,1.0615310607486301,1.2538294792175293,1.293303370475769,0.6218222222222223,0.5358,0.5398
4,1.0061305576960247,1.2572427988052368,1.3419272899627686,0.6385333333333333,0.5338,0.5368
5,0.9892380261209276,1.3261618614196777,1.4257899522781372,0.6516222222222222,0.53,0.5376
6,0.8927707390732236,1.4364007711410522,1.4811726808547974,0.6844444444444444,0.5328,0.5371
7,0.8916506248527103,1.553148627281189,1.612030267715454,0.6927333333333333,0.5224,0.5307
8,1.035858903365665,1.659714698791504,1.8303571939468384,0.6623111111111111,0.498,0.5034
9,0.9892136717902289,1.7501342296600342,1.9160293340682983,0.6867333333333333,0.514,0.5183
10,0.999010484208001,1.8193939924240112,2.066542863845825,0.6999333333333333,0.5194,0.5226
11,0.7324101593971253,1.8531705141067505,1.9715595245361328,0.7723111111111111,0.5456,0.5491
12,0.6291165050427119,1.953519344329834,1.9754769802093506,0.7985777777777778,0.5448,0.5606
13,0.5312945388661491,1.98531174659729,1.9905118942260742,0.8332,0.5652,0.5734
14,0.4453490454991659,2.043325662612915,2.012299060821533,0.8526666666666667,0.5622,0.5728
15,0.4465239376955562,2.0843210220336914,2.132434368133545,0.8568888888888889,0.5632,0.5678
