epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.09286300566995685,0.12035932391881943,0.09821124374866486,0.9728545454545454,0.9618,0.9702,4
2,0.04640995282332667,0.0843164399266243,0.06916908919811249,0.9862909090909091,0.9708,0.9801,4
3,0.03121162268521518,0.0733666643500328,0.06780855357646942,0.9905272727272727,0.9756,0.981,4
4,0.020422172828080048,0.0710543766617775,0.06795617938041687,0.9934363636363637,0.978,0.9827,4
5,0.017852788809766273,0.07686345279216766,0.07207009196281433,0.9944,0.9778,0.9805,4
6,0.02016370478515058,0.08023405075073242,0.08923401683568954,0.9930181818181818,0.9774,0.9785,4
7,0.020675031417078573,0.0906706303358078,0.0979592353105545,0.9929636363636364,0.9784,0.9768,4
