epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,0.971958193174998,1.223107933998108,1.2902796268463135,0.6538888888888889,0.5462,0.5596
2,0.7122570934507582,1.224830985069275,1.2775049209594727,0.7479555555555556,0.573,0.5822
3,0.6659444591946072,1.3244385719299316,1.4199906587600708,0.7664666666666666,0.5692,0.5763
4,0.6975448235723707,1.4725232124328613,1.6486397981643677,0.7598444444444444,0.5556,0.5618
5,0.5510547207196553,1.6157467365264893,1.764633059501648,0.8104888888888889,0.568,0.5763
6,0.5907613049295214,1.7470877170562744,1.873131275177002,0.8069111111111111,0.565,0.5786
7,0.43522419981956484,1.8464300632476807,1.936557412147522,0.8514666666666667,0.5758,0.582
8,0.2709149706761042,1.9263242483139038,1.9087687730789185,0.9041777777777777,0.5964,0.5992
9,0.24202088768482208,1.991695761680603,1.986688256263733,0.9164888888888889,0.6012,0.6024
10,0.13688596899376976,2.0344743728637695,2.017319440841675,0.9527111111111111,0.6012,0.6098
11,0.09867589000827737,2.0749800205230713,2.0729196071624756,0.9668888888888889,0.607,0.6105
12,0.05109101782209343,2.1097254753112793,2.078691244125366,0.9855555555555555,0.6078,0.6174
13,0.03495946899023321,2.1513566970825195,2.107299327850342,0.9912,0.607,0.6172
14,0.027074589786926905,2.183458089828491,2.1285719871520996,0.9937555555555555,0.6078,0.6177
15,0.02216523714164893,2.2067325115203857,2.145829200744629,0.9953333333333333,0.6078,0.6177
