epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.07932492680102586,0.10650637000799179,0.09037309885025024,0.9776727272727272,0.966,0.9722,3
2,0.03823564050211148,0.07758351415395737,0.0655648410320282,0.9888181818181818,0.9742,0.9799,3
3,0.02204890085039237,0.07143406569957733,0.06255771219730377,0.9941454545454546,0.9778,0.9821,3
4,0.013989715852467766,0.07277482748031616,0.06552594900131226,0.9964181818181819,0.9774,0.9815,3
5,0.010168769844011298,0.07791713625192642,0.0712214931845665,0.997,0.9784,0.9805,3
6,0.008105592613529139,0.0857577845454216,0.0781957283616066,0.9976545454545455,0.979,0.9802,3
7,0.00890857671741535,0.09728516638278961,0.08900611102581024,0.9969090909090909,0.9778,0.9795,3
