epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.09291194094852968,0.11968600749969482,0.10423020273447037,0.9729818181818182,0.963,0.9687,4
2,0.049251421555199404,0.0855942964553833,0.07336893677711487,0.9855636363636363,0.9718,0.9779,4
3,0.031783682920631356,0.07829499244689941,0.06713268160820007,0.9910545454545454,0.9762,0.9798,4
4,0.022459403020774267,0.07740434259176254,0.06757185608148575,0.9943818181818181,0.9762,0.9807,4
5,0.01693850379311268,0.07982775568962097,0.0707927942276001,0.9954909090909091,0.9768,0.9806,4
6,0.013146613645330284,0.08413586765527725,0.07473614066839218,0.9964727272727273,0.976,0.9809,4
7,0.010484763429214415,0.08870803564786911,0.07964833080768585,0.9974181818181819,0.976,0.9809,4
