epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.2969341809559952,0.32148227095603943,0.29159653186798096,0.9137272727272727,0.9074,0.9207,33
2,0.21068734216690063,0.23650580644607544,0.2131723314523697,0.9366909090909091,0.9286,0.9382,33
3,0.17403522054851056,0.20189771056175232,0.18162499368190765,0.9468363636363636,0.9402,0.9487,33
4,0.15261878243630583,0.18238313496112823,0.16374842822551727,0.9531090909090909,0.946,0.9525,33
5,0.13831265319579028,0.1692497283220291,0.15205088257789612,0.9574,0.949,0.957,33
6,0.12836135821654038,0.16070938110351562,0.14440308511257172,0.9604909090909091,0.9516,0.9594,33
7,0.12077204066989097,0.15433427691459656,0.13910044729709625,0.9623454545454545,0.9528,0.9601,33
8,0.11499042912132361,0.14950701594352722,0.13525766134262085,0.9638545454545454,0.954,0.9612,33
9,0.11047967268763619,0.14573559165000916,0.1325584352016449,0.9650181818181818,0.9538,0.9618,33
10,0.10683003353496844,0.142417773604393,0.13042223453521729,0.9658545454545454,0.9552,0.9622,33
11,0.10370069199224764,0.13969549536705017,0.12864676117897034,0.9668363636363636,0.9566,0.9624,33
12,0.101012832863087,0.13734495639801025,0.12746986746788025,0.9676181818181818,0.9578,0.9622,33
13,0.09874281582066959,0.13539986312389374,0.12655170261859894,0.9684181818181818,0.9588,0.9631,33
14,0.09684731586497616,0.13357098400592804,0.12574170529842377,0.9689636363636364,0.9602,0.9636,33
15,0.09508249514279041,0.1321713626384735,0.12494400888681412,0.9694181818181818,0.9598,0.9637,33
16,0.09353466864251955,0.13095512986183167,0.12428636103868484,0.9698,0.9604,0.9637,33
17,0.09199359653670001,0.1297263652086258,0.12372629344463348,0.9700909090909091,0.9604,0.9634,33
18,0.09067219707149674,0.12877222895622253,0.12329123169183731,0.9703636363636363,0.9592,0.9634,33
19,0.08945125281150368,0.12816402316093445,0.12291145324707031,0.971,0.9594,0.9638,33
20,0.08841612791693346,0.1274583637714386,0.12272385507822037,0.9715090909090909,0.9602,0.9641,33
21,0.08738559569723227,0.1269979476928711,0.12258917093276978,0.9718909090909091,0.9606,0.9639,33
22,0.08642461836778305,0.12639227509498596,0.1225607693195343,0.9719636363636364,0.961,0.9642,33
23,0.0855894247637215,0.12598896026611328,0.1225702166557312,0.9721636363636363,0.9612,0.9641,33
24,0.08486783322471787,0.12564900517463684,0.12259731441736221,0.9721636363636363,0.9608,0.9641,33
25,0.08409560084867884,0.12531742453575134,0.12257587909698486,0.9725818181818182,0.9606,0.964,33
26,0.08331388687393204,0.12511709332466125,0.12266552448272705,0.9727818181818182,0.9606,0.9642,33
27,0.08262150606411424,0.12481262534856796,0.12284137308597565,0.9728909090909091,0.96,0.9643,33
28,0.08193841853483834,0.12463296204805374,0.1228678822517395,0.9731636363636363,0.9606,0.9645,33
29,0.08129055734520609,0.12450103461742401,0.12308266758918762,0.9735090909090909,0.961,0.9644,33
30,0.08073042574846609,0.12433250993490219,0.12330156564712524,0.9737454545454546,0.961,0.9649,33
31,0.08017469452033667,0.124237060546875,0.12343637645244598,0.9740727272727273,0.9606,0.9647,33
32,0.07958746929991652,0.12432180345058441,0.12372832000255585,0.9740727272727273,0.9606,0.9647,33
33,0.07902189430323514,0.12419945001602173,0.12383713573217392,0.9742727272727273,0.9608,0.9646,33
34,0.07850097502056848,0.12427862733602524,0.12387863546609879,0.9744727272727273,0.9614,0.965,33
35,0.07797863417135721,0.12440390884876251,0.12393626570701599,0.9747090909090909,0.9614,0.9648,33
