epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,1.426789171579149,1.4655909538269043,1.4975000619888306,0.4829111111111111,0.4514,0.4573
2,1.2755272699779934,1.338537573814392,1.40936279296875,0.5378444444444445,0.4848,0.4926
3,1.0537004479196337,1.2883778810501099,1.3022266626358032,0.6229777777777777,0.5286,0.538
4,0.988797876103719,1.3010157346725464,1.344162940979004,0.6447777777777778,0.5278,0.5378
5,1.0494192688412136,1.3794152736663818,1.486344575881958,0.6311333333333333,0.5152,0.5203
6,0.9219411347813077,1.4830718040466309,1.5292952060699463,0.6796,0.5142,0.5255
7,0.9729968588882022,1.6367515325546265,1.6830607652664185,0.6696888888888889,0.5094,0.5153
8,1.097284151702457,1.7321126461029053,1.9114776849746704,0.6528222222222222,0.4898,0.4944
9,0.9655968013021681,1.7963054180145264,1.8960860967636108,0.6908888888888889,0.5116,0.519
10,0.9501653477933671,1.8665248155593872,2.037168264389038,0.7079333333333333,0.5118,0.5189
11,1.2294987667719524,1.9715646505355835,2.373868703842163,0.6731777777777778,0.5012,0.5039
12,1.020275417772929,2.003687858581543,2.2904458045959473,0.7107555555555556,0.5074,0.5086
13,0.7679303684499529,2.0338571071624756,2.208073854446411,0.7673111111111112,0.5296,0.5335
14,0.5418036404742135,2.0947563648223877,2.119018793106079,0.8271555555555555,0.551,0.5559
15,0.5666837557792663,2.1058177947998047,2.221756935119629,0.8206,0.5498,0.5544
