epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,0.8871448703871833,1.2527192831039429,1.2581827640533447,0.6895777777777777,0.5502,0.5636
2,0.7806506952921549,1.2689696550369263,1.351561188697815,0.7231777777777778,0.5526,0.5605
3,0.5442257321039835,1.376057505607605,1.3807069063186646,0.8095777777777777,0.57,0.5873
4,0.4701670307424333,1.5074836015701294,1.531142234802246,0.8334444444444444,0.5814,0.5879
5,0.45061075506740145,1.647662878036499,1.6984612941741943,0.8410888888888889,0.5676,0.5754
6,0.4394528102397919,1.7841286659240723,1.8432329893112183,0.8468444444444444,0.5722,0.5832
7,0.45697749450471664,1.8939509391784668,2.0055203437805176,0.8492888888888889,0.572,0.5789
8,0.33280395913653904,1.9446685314178467,2.037925958633423,0.8888,0.5826,0.5809
9,0.1343615926126639,2.01908278465271,2.013228416442871,0.9540666666666666,0.5976,0.5999
10,0.11603348587188456,2.095578670501709,2.080554962158203,0.9605555555555556,0.5966,0.5997
11,0.09569099042846096,2.129795551300049,2.1373987197875977,0.9675777777777778,0.6026,0.598
12,0.04510206821693315,2.1601297855377197,2.1283042430877686,0.9866222222222222,0.6042,0.6036
13,0.030553001544210645,2.1930034160614014,2.1526846885681152,0.9921333333333333,0.6088,0.6034
14,0.023247230155269305,2.2169992923736572,2.172250270843506,0.9947333333333334,0.6104,0.6087
15,0.019566066873404713,2.240305185317993,2.190530300140381,0.9961111111111111,0.6084,0.6094
