epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.642962099367922,0.6456979513168335,0.6290940642356873,0.8025818181818182,0.8058,0.8042,55
2,0.5122939693169161,0.5125452876091003,0.4985339939594269,0.8415818181818182,0.8414,0.8448,55
3,0.4671794907342304,0.467542439699173,0.45540791749954224,0.8560727272727273,0.8578,0.8586,55
4,0.4429286485097625,0.4437733292579651,0.4329545795917511,0.8637454545454546,0.8648,0.8655,55
5,0.42784306025505064,0.42941856384277344,0.4194066524505615,0.868909090909091,0.8712,0.8707,55
6,0.41677171448685907,0.41841742396354675,0.4093565344810486,0.8725818181818182,0.8748,0.8732,55
7,0.4079619797847488,0.40939977765083313,0.40181097388267517,0.8753090909090909,0.878,0.8784,55
8,0.39865344028581273,0.4001219570636749,0.3933109939098358,0.8779636363636364,0.8816,0.881,55
9,0.39130859393423256,0.3923671245574951,0.3868718445301056,0.8803818181818182,0.8818,0.8824,55
10,0.3855865172797983,0.386234849691391,0.3816749155521393,0.8823090909090909,0.8832,0.8842,55
11,0.3802088129032742,0.38065165281295776,0.37706297636032104,0.8837090909090909,0.8842,0.8848,55
12,0.3752361808906902,0.37509238719940186,0.3732469379901886,0.8849636363636364,0.8858,0.8862,55
13,0.37143851420012386,0.3707149028778076,0.3702038824558258,0.8864,0.8884,0.8876,55
14,0.36825940548831765,0.36731216311454773,0.3676402270793915,0.8876727272727273,0.8892,0.8886,55
15,0.36563931538841943,0.36417755484580994,0.36541101336479187,0.8884909090909091,0.8898,0.8883,55
16,0.36339498712257906,0.361555278301239,0.3635078966617584,0.8893272727272727,0.8902,0.8898,55
17,0.3612039992213249,0.3588515818119049,0.3617461025714874,0.89,0.8908,0.8901,55
18,0.3593021275184371,0.35644540190696716,0.3600088357925415,0.8908545454545455,0.8926,0.8908,55
19,0.35743621879816057,0.35403770208358765,0.3583802878856659,0.8909818181818182,0.8934,0.8913,55
20,0.35578560836206785,0.35187479853630066,0.3570882976055145,0.8918909090909091,0.8944,0.8915,55
21,0.35393107319149103,0.3495623767375946,0.3556904196739197,0.8924909090909091,0.896,0.892,55
22,0.35230311677943577,0.3474310040473938,0.35452914237976074,0.8929818181818182,0.8968,0.8926,55
23,0.35095597315918314,0.345733106136322,0.35353145003318787,0.8930727272727272,0.8974,0.8935,55
24,0.3497862789387053,0.34432253241539,0.3528491258621216,0.8933636363636364,0.897,0.8935,55
25,0.34848590036955746,0.34271928668022156,0.35180333256721497,0.8940727272727272,0.8974,0.8933,55
26,0.3472924579544501,0.3412852883338928,0.35088279843330383,0.8943818181818182,0.898,0.8937,55
27,0.34612356008995665,0.33985987305641174,0.3500492572784424,0.8946181818181819,0.898,0.8937,55
28,0.34493858138539574,0.338530033826828,0.34932371973991394,0.8951818181818182,0.8976,0.8936,55
29,0.3437905279397965,0.33718231320381165,0.34860721230506897,0.8955454545454545,0.8984,0.8944,55
30,0.342796642314304,0.3361457586288452,0.3478449285030365,0.8958181818181818,0.899,0.8949,55
31,0.34178081426024437,0.33497026562690735,0.34714698791503906,0.8959090909090909,0.8984,0.8952,55
32,0.34083509135246276,0.33403921127319336,0.34643635153770447,0.8963090909090909,0.8984,0.8954,55
33,0.3396767375658859,0.3330273926258087,0.3456219434738159,0.8965454545454545,0.8994,0.8956,55
34,0.33798503811251035,0.331363707780838,0.34434714913368225,0.8974181818181818,0.9006,0.8956,55
35,0.33637360827218404,0.3297238349914551,0.34314659237861633,0.8978545454545455,0.9,0.8956,55
36,0.33516275067221035,0.3287147879600525,0.34224724769592285,0.8982909090909091,0.9004,0.8962,55
37,0.33400794776732273,0.32762545347213745,0.34125199913978577,0.8987818181818182,0.9018,0.8963,55
38,0.33318664517185903,0.3269335627555847,0.3405245244503021,0.8991636363636364,0.9016,0.8968,55
39,0.3322800304781307,0.32601624727249146,0.33968207240104675,0.8995818181818181,0.9018,0.8979,55
40,0.3314209149290215,0.3250727653503418,0.33877477049827576,0.900090909090909,0.9022,0.8982,55
41,0.33077698483792217,0.324478417634964,0.33818376064300537,0.9002727272727272,0.9018,0.8985,55
42,0.32999022524465216,0.3237127363681793,0.3376185894012451,0.9006909090909091,0.9024,0.8988,55
43,0.32934425178441135,0.32310059666633606,0.3370349705219269,0.9010363636363636,0.9024,0.8992,55
44,0.32876073634895414,0.32238051295280457,0.3366089165210724,0.9014545454545455,0.9034,0.8997,55
45,0.32820186268741436,0.32177361845970154,0.3360254764556885,0.9013454545454546,0.9026,0.9,55
46,0.32756152180650017,0.32123810052871704,0.3353908360004425,0.9014545454545455,0.9028,0.8998,55
47,0.32702382614395836,0.3207436501979828,0.334929496049881,0.9018,0.9036,0.9002,55
48,0.3264233616807244,0.3200816810131073,0.3344900906085968,0.9019454545454545,0.9034,0.9002,55
49,0.3258631977899508,0.31963688135147095,0.3342835605144501,0.9021818181818182,0.903,0.9002,55
50,0.3253815355788578,0.31929445266723633,0.3339606821537018,0.9021454545454546,0.903,0.9001,55
51,0.3248172357353297,0.319018691778183,0.33372145891189575,0.9024909090909091,0.9028,0.9002,55
52,0.3243076022565365,0.31847915053367615,0.33335748314857483,0.9026545454545455,0.903,0.9004,55
53,0.3239360354244709,0.3183155655860901,0.3332194685935974,0.9027454545454545,0.903,0.9005,55
54,0.3235158261358738,0.3180871307849884,0.3330763280391693,0.9026909090909091,0.9042,0.9004,55
55,0.3232102438130162,0.31788361072540283,0.3328937292098999,0.9028545454545455,0.9044,0.9004,55
