epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.0808589173684066,0.10940836369991302,0.09254563599824905,0.9769636363636364,0.9654,0.9719,4
2,0.03835416332166642,0.0788775086402893,0.06610886007547379,0.9891818181818182,0.9734,0.9792,4
3,0.023202174653426152,0.07270774990320206,0.0636494979262352,0.9938545454545454,0.977,0.9813,4
4,0.014618416963769545,0.0723498985171318,0.0648823231458664,0.9964181818181819,0.9784,0.9812,4
5,0.010266052159364335,0.07720226049423218,0.06895585358142853,0.9973636363636363,0.9782,0.9806,4
6,0.008117716693359067,0.08455254137516022,0.07509059458971024,0.9978727272727272,0.9786,0.9801,4
7,0.006347051061340607,0.08956644684076309,0.08161810040473938,0.9981818181818182,0.979,0.9799,4
