epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.13673781580410221,0.16884484887123108,0.15107862651348114,0.9614363636363636,0.9508,0.9568,3
2,0.0737495371665467,0.11866454780101776,0.10101687908172607,0.9781818181818182,0.9644,0.9699,3
3,0.053457142096182166,0.1081760972738266,0.09218322485685349,0.9838181818181818,0.9664,0.9722,3
4,0.04444115526567806,0.11356470733880997,0.09643638879060745,0.9854363636363637,0.9662,0.9726,3
5,0.04339911484981845,0.1244828850030899,0.10433830320835114,0.9849818181818182,0.9678,0.9723,3
6,0.03750469041077039,0.12868012487888336,0.10740154981613159,0.9874545454545455,0.9672,0.9721,3
7,0.034646733714701526,0.13909517228603363,0.11837136000394821,0.9882909090909091,0.9672,0.9722,3
